stage,beta,seed,rel_l2,run_time_seconds
adam,1.000000,46,6.20067297e-02,866.600520
lbfgs,1.000000,46,8.15484716e-03,939.690572
best:lbfgs,1.000000,46,8.15484716e-03,939.690572
