stage,beta,seed,rel_l2,run_time_seconds
adam,1.000000,47,2.03156930e-02,602.795104
lbfgs,1.000000,47,1.99403607e-03,639.742852
pso,1.000000,47,1.37716915e+00,636.615401
best:lbfgs,1.000000,47,1.99403607e-03,639.742852
