stage,beta,seed,rel_l2,run_time_seconds
adam,1.000000,43,1.14017481e-02,695.524523
lbfgs,1.000000,43,3.59778381e-03,718.912301
best:lbfgs,1.000000,43,3.59778381e-03,718.912301
