stage,nu,seed,rel_l2,run_time_seconds
adam,0.010000,42,5.42292563e-03,3617.344297
lbfgs,0.010000,42,9.49393756e-04,3759.805941
pso,0.010000,42,6.21484798e-01,3634.832968
best:lbfgs,0.010000,42,9.49393756e-04,3759.805941
