stage,nu,seed,rel_l2,run_time_seconds
adam,0.040000,43,1.29270328e-03,723.680931
lbfgs,0.040000,43,4.82172720e-04,751.580646
pso,0.040000,43,1.06360010e+00,740.905872
best:lbfgs,0.040000,43,4.82172720e-04,751.580646
