stage,beta,seed,rel_l2,run_time_seconds
adam,1.000000,43,3.93105883e-02,809.300988
lbfgs,1.000000,43,1.91795512e-03,890.366780
pso,1.000000,43,3.71899253e+00,858.499769
best:lbfgs,1.000000,43,1.91795512e-03,890.366780
