stage,nu,seed,rel_l2,run_time_seconds
adam,0.040000,43,1.08342795e-03,94.170716
lbfgs,0.040000,43,2.62980428e-04,108.849224
pso,0.040000,43,5.02153322e-01,97.129688
best:lbfgs,0.040000,43,2.62980428e-04,108.849224
