stage,beta,seed,rel_l2,run_time_seconds
adam,0.100000,44,1.78230667e-02,522.701893
lbfgs,0.100000,44,2.96098040e-03,543.429887
best:lbfgs,0.100000,44,2.96098040e-03,543.429887
