method,best_architecture,pipeline_best_stage,pipeline_best_obj,seed_adam_obj,lbfgs5000_obj,pso_obj,best_after_refine_stage,best_after_refine_obj,improvement_vs_pipeline_pct,rank_after_refine
baseline,L5_N96,lbfgs,3.2609121799468994,19.5635929107666,0.008148607797920704,3260.533447265625,lbfgs,0.008148607797920704,99.75011262652117,2
nsga2,L6_N132,lbfgs,4.310217380523682,97.24772644042969,0.0049284580163657665,809.893798828125,lbfgs,0.0049284580163657665,99.88565639314074,1
nsga3,L6_N141,lbfgs,5.451700687408447,94.10630798339844,0.01512310653924942,2025.5638427734375,lbfgs,0.01512310653924942,99.72259837055657,3
bayesian,L5_N121,adam,0.027310121804475784,148.88018798828125,0.021403033286333084,864.7083740234375,lbfgs,0.021403033286333084,21.629667419405664,4
