stage,nu,seed,rel_l2,run_time_seconds
adam,0.070000,44,5.20832521e-04,108.542843
lbfgs,0.070000,44,1.73486361e-04,127.456525
pso,0.070000,44,1.51638297e-01,114.262615
best:lbfgs,0.070000,44,1.73486361e-04,127.456525
