y_coord,time_s,abs_temp_error
-0.20000000298023224,0.0,479.603759765625
-0.20000000298023224,5.0,465.82135009765625
-0.20000000298023224,10.0,457.4703369140625
-0.20000000298023224,15.0,452.376220703125
-0.20000000298023224,20.0,449.2979431152344
-0.20000000298023224,25.0,447.43487548828125
-0.20000000298023224,30.0,446.306640625
-0.06666666269302368,0.0,478.5423583984375
-0.06666666269302368,5.0,464.6995849609375
-0.06666666269302368,10.0,456.32421875
-0.06666666269302368,15.0,451.23931884765625
-0.06666666269302368,20.0,448.1574401855469
-0.06666666269302368,25.0,446.2841796875
-0.06666666269302368,30.0,445.14410400390625
0.06666667759418488,0.0,477.3720703125
0.06666667759418488,5.0,463.52374267578125
0.06666667759418488,10.0,455.14410400390625
0.06666667759418488,15.0,450.06390380859375
0.06666667759418488,20.0,446.9835510253906
0.06666667759418488,25.0,445.113525390625
0.06666667759418488,30.0,443.9755859375
0.19999998807907104,0.0,476.09197998046875
0.19999998807907104,5.0,462.29339599609375
0.19999998807907104,10.0,453.92938232421875
0.19999998807907104,15.0,448.849609375
0.19999998807907104,20.0,445.7757263183594
0.19999998807907104,25.0,443.921875
0.19999998807907104,30.0,442.8004150390625
