y_coord,time_s,temp_exact
-0.20000000298023224,0.0,540.0
-0.20000000298023224,5.0,73.77142333984375
-0.20000000298023224,10.0,82.12422180175781
-0.20000000298023224,15.0,87.19044494628906
-0.20000000298023224,20.0,90.26326751708984
-0.20000000298023224,25.0,92.12702178955078
-0.20000000298023224,30.0,93.25745391845703
-0.06666666269302368,0.0,540.0
-0.06666666269302368,5.0,75.27142333984375
-0.06666666269302368,10.0,83.62422180175781
-0.06666666269302368,15.0,88.69044494628906
-0.06666666269302368,20.0,91.76326751708984
-0.06666666269302368,25.0,93.62702178955078
-0.06666666269302368,30.0,94.75745391845703
0.06666667759418488,0.0,540.0
0.06666667759418488,5.0,76.77142333984375
0.06666667759418488,10.0,85.12422180175781
0.06666667759418488,15.0,90.19044494628906
0.06666667759418488,20.0,93.26326751708984
0.06666667759418488,25.0,95.12702178955078
0.06666667759418488,30.0,96.25745391845703
0.19999998807907104,0.0,540.0
0.19999998807907104,5.0,78.27142333984375
0.19999998807907104,10.0,86.62422180175781
0.19999998807907104,15.0,91.69044494628906
0.19999998807907104,20.0,94.76326751708984
0.19999998807907104,25.0,96.62702178955078
0.19999998807907104,30.0,97.75745391845703
