y_coord,time_s,delta_temp_error_vs_baseline
-0.20000000298023224,0.0,-1.37261962890625
-0.20000000298023224,5.0,1.60198974609375
-0.20000000298023224,10.0,2.1519775390625
-0.20000000298023224,15.0,1.9468994140625
-0.20000000298023224,20.0,1.98773193359375
-0.20000000298023224,25.0,2.1341552734375
-0.20000000298023224,30.0,2.60198974609375
-0.06666666269302368,0.0,-3.20263671875
-0.06666666269302368,5.0,3.50396728515625
-0.06666666269302368,10.0,3.8243408203125
-0.06666666269302368,15.0,3.60693359375
-0.06666666269302368,20.0,3.69097900390625
-0.06666666269302368,25.0,3.73162841796875
-0.06666666269302368,30.0,3.89642333984375
0.06666667759418488,0.0,-4.5091552734375
0.06666667759418488,5.0,5.4515380859375
0.06666667759418488,10.0,5.53033447265625
0.06666667759418488,15.0,5.28778076171875
0.06666667759418488,20.0,5.39630126953125
0.06666667759418488,25.0,5.31646728515625
0.06666667759418488,30.0,5.181640625
0.19999998807907104,0.0,-6.07879638671875
0.19999998807907104,5.0,7.4312744140625
0.19999998807907104,10.0,7.25347900390625
0.19999998807907104,15.0,6.9761962890625
0.19999998807907104,20.0,7.09075927734375
0.19999998807907104,25.0,6.8756103515625
0.19999998807907104,30.0,6.448974609375
