scenario,run_dir,layers,neurons,checkpoint,best_stage,best_objective,temp_mae,temp_rmse,disp_mae,disp_rmse,temp_metric_scope,disp_metric_scope,temp_vs_baseline_pct,disp_vs_baseline_pct,temp_score_pct,disp_score_pct,combined_score_pct
nsga2_lbfgs5000,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/lbfgs/nsga2/L6_N132,6,132,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/lbfgs/nsga2/L6_N132/baseline_model_lbfgs.pth,lbfgs,0.0049284580163657665,386.92181396484375,417.9493103027344,6.137171294540167e-05,6.999236939009279e-05,paper_temp_reference_grid,paper_disp_reference_x0_only,100.868,0.242,99.139,100.0,99.57
baseline_lbfgs5000,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/baseline_adam_refine5000/lbfgs/L5_N96,5,96,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/baseline_adam_refine5000/lbfgs/L5_N96/baseline_model_lbfgs.pth,lbfgs,0.008148607797920704,387.0094299316406,417.91937255859375,0.00032277576974593103,0.0003982886264566332,paper_temp_reference_grid,paper_disp_reference_x0_only,100.891,1.273,99.117,19.014,59.066
bayesian_lbfgs5000,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/lbfgs/bayesian/L5_N121,5,121,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/lbfgs/bayesian/L5_N121/baseline_model_lbfgs.pth,lbfgs,0.021403033286333084,386.9404296875,417.93804931640625,0.0005298528121784329,0.0005714411963708699,paper_temp_reference_grid,paper_disp_reference_x0_only,100.873,2.089,99.135,11.583,55.359
nsga3_lbfgs5000,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/lbfgs/nsga3/L6_N141,6,141,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/lbfgs/nsga3/L6_N141/baseline_model_lbfgs.pth,lbfgs,0.01512310653924942,386.9198913574219,417.9490051269531,0.0008007360738702118,0.0008366049150936306,paper_temp_reference_grid,paper_disp_reference_x0_only,100.868,3.157,99.14,7.664,53.402
baseline_original,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/baseline/L5_N96,5,96,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/baseline/L5_N96/baseline_model_lbfgs.pth,lbfgs,3.2609121799468994,383.592041015625,413.7488708496094,0.02536054328083992,0.03135036304593086,paper_temp_reference_grid,paper_disp_reference_x0_only,100.0,100.0,100.0,0.242,50.121
