stage,domain,seed,rel_l2,run_time_seconds
adam,annulus,46,9.60448469e-02,437.191501
lbfgs,annulus,46,2.22549607e-03,508.346325
pso,annulus,46,7.82235485e-01,445.994894
best:lbfgs,annulus,46,2.22549607e-03,508.346325
