stage,nu,seed,rel_l2,run_time_seconds
adam,0.010000,42,2.53434414e-03,115.631650
lbfgs,0.010000,42,8.26064539e-04,145.323856
pso,0.010000,42,2.37617090e-01,128.899388
best:lbfgs,0.010000,42,8.26064539e-04,145.323856
