y_coord,time_s,abs_temp_error
-0.20000000298023224,0.0,0.22918701171875
-0.20000000298023224,5.0,466.46636962890625
-0.20000000298023224,10.0,458.1060791015625
-0.20000000298023224,15.0,453.014404296875
-0.20000000298023224,20.0,449.9236755371094
-0.20000000298023224,25.0,448.05841064453125
-0.20000000298023224,30.0,446.916015625
-0.06666666269302368,0.0,0.20257568359375
-0.06666666269302368,5.0,464.90228271484375
-0.06666666269302368,10.0,456.5362548828125
-0.06666666269302368,15.0,451.457763671875
-0.06666666269302368,20.0,448.3694763183594
-0.06666666269302368,25.0,446.49468994140625
-0.06666666269302368,30.0,445.35491943359375
0.06666667759418488,0.0,0.11456298828125
0.06666667759418488,5.0,463.30865478515625
0.06666667759418488,10.0,454.9464111328125
0.06666667759418488,15.0,449.8734130859375
0.06666667759418488,20.0,446.7900085449219
0.06666667759418488,25.0,444.9139404296875
0.06666667759418488,30.0,443.776123046875
0.19999998807907104,0.0,0.03387451171875
0.19999998807907104,5.0,461.685791015625
0.19999998807907104,10.0,453.3377685546875
0.19999998807907104,15.0,448.2618408203125
0.19999998807907104,20.0,445.1861877441406
0.19999998807907104,25.0,443.31695556640625
0.19999998807907104,30.0,442.17974853515625
