method,best_layers,best_neurons,search_best_proxy_loss,search_best_param_count,final_best_stage,final_best_objective,final_run_time_seconds
nsga2,6,132,97.24772644042969,143283.0,lbfgs,4.310217380523682,903.7650693077594
nsga3,6,141,94.10630798339844,163200.0,lbfgs,5.451700687408447,926.456865593791
bayesian,5,121,148.88018798828125,91167.0,adam,0.027310121804475784,714.9365210849792
