step,loss
0,133.21365356445312
1,115.893798828125
2,78.37089538574219
3,59.8575439453125
4,34.91339111328125
5,20.610055923461914
6,17.63426399230957
7,14.192584991455078
8,12.909415245056152
9,11.30032730102539
10,8.99959659576416
11,7.343006134033203
12,6.039385795593262
13,5.3645782470703125
14,5.0079874992370605
15,4.606551170349121
16,4.066680908203125
17,3.446277618408203
18,3.3062195777893066
19,3.222118854522705
20,2.7450904846191406
21,2.3425509929656982
22,2.0683741569519043
23,1.7955341339111328
24,1.497864007949829
25,1.3478535413742065
26,1.2612308263778687
27,1.1745538711547852
28,1.0625762939453125
29,0.9037299156188965
30,0.8053706288337708
31,0.7611608505249023
32,0.73115074634552
33,0.6985970139503479
34,0.6591113805770874
35,0.5728915333747864
36,0.4923896789550781
37,0.42290881276130676
38,0.5028942823410034
39,0.40210235118865967
40,0.3789786100387573
41,0.3642648756504059
42,0.35708531737327576
43,0.3509635627269745
44,0.34302154183387756
45,0.33497464656829834
46,0.328014075756073
47,0.3204936683177948
48,0.3136165142059326
49,0.3070162832736969
50,0.2994581460952759
51,0.29103559255599976
52,0.28117161989212036
53,0.26685306429862976
54,0.2553613483905792
55,0.2477845847606659
56,0.24663349986076355
57,0.24477754533290863
58,0.23944151401519775
59,0.22952112555503845
60,0.21947821974754333
61,0.211907759308815
62,0.19964975118637085
63,0.19244584441184998
64,0.1895073801279068
65,0.1856287568807602
66,0.18370383977890015
67,0.18201231956481934
68,0.17871281504631042
69,0.17502069473266602
70,0.17326511442661285
71,0.17046327888965607
72,0.16808126866817474
73,0.16671094298362732
74,0.16425450146198273
75,0.1591113954782486
76,0.152254119515419
77,0.14364585280418396
78,0.14257127046585083
79,0.13649529218673706
80,0.13120083510875702
81,0.12843230366706848
82,0.12749221920967102
83,0.1266845464706421
84,0.12534549832344055
85,0.1246570572257042
86,0.12422129511833191
87,0.12367027252912521
88,0.12347661703824997
89,0.12306302040815353
90,0.12255646288394928
91,0.12059029191732407
92,0.11797526478767395
93,0.11785032600164413
94,0.1156957820057869
95,0.11568957567214966
96,0.11358264088630676
97,0.11059489846229553
98,0.10817888379096985
99,0.10665815323591232
100,0.10594603419303894
101,0.10540632158517838
102,0.10471964627504349
103,0.10375797003507614
104,0.10304108262062073
105,0.10270514339208603
