stage,beta,seed,rel_l2,run_time_seconds
adam,0.100000,46,3.28005275e-02,594.659449
lbfgs,0.100000,46,5.20418224e-03,612.921799
pso,0.100000,46,1.83347290e+00,616.172925
best:lbfgs,0.100000,46,5.20418224e-03,612.921799
