epoch,total,physics,heat,visc,ic,bc,bc_disp,bc_flux,data,data_temp,data_disp
0,343.9282531738281,0.25441303849220276,0.2372201681137085,0.017192866653203964,291613.71875,8.776432105035923e+18,8.776432105035923e+18,0.0020205946639180183,3081745.25,0.7961737513542175,3081744.5
1,485.3077392578125,0.12070334702730179,0.11254630237817764,0.008157039061188698,291661.15625,4.371912768979206e+18,4.371912768979206e+18,0.001974596409127116,18323952.0,0.7897254824638367,18323952.0
2,362.5238342285156,0.08710266649723053,0.08121615648269653,0.005886518396437168,291646.3125,2.871699796500939e+18,2.871699796500939e+18,0.001914365915581584,6365068.0,0.7833192348480225,6365067.0
3,300.3623352050781,0.07656140625476837,0.07138718664646149,0.005174222867935896,291587.46875,2.406275974707544e+18,2.406275974707544e+18,0.001873411936685443,254050.984375,0.7789109349250793,254050.203125
4,297.4091796875,0.08033700287342072,0.07490764558315277,0.005429355427622795,291508.5,1.1384861538847293e+18,1.1384861538847293e+18,0.0018371014157310128,74533.2421875,0.775959312915802,74532.46875
5,296.6278076171875,0.07761568576097488,0.07237031310796738,0.005245372653007507,291417.5625,6.100426549142487e+17,6.100426549142487e+17,0.0018020455026999116,71937.578125,0.7740551233291626,71936.8046875
6,295.3766174316406,0.06396204978227615,0.05963946133852005,0.004322587046772242,291317.25,6.242750770215649e+17,6.242750770215649e+17,0.001770256320014596,23700.564453125,0.7727986574172974,23699.791015625
7,294.8638000488281,0.05507959425449371,0.05135730654001236,0.0037222907412797213,291209.28125,6.835145645028803e+17,6.835145645028803e+17,0.0017377907643094659,21704.61328125,0.7711221575737,21703.841796875
8,294.1700134277344,0.04636959359049797,0.04323592782020569,0.0031336648389697075,291094.59375,6.686747996601713e+17,6.686747996601713e+17,0.0017044595442712307,8824.556640625,0.7687578797340393,8823.7880859375
9,293.7982482910156,0.038605015724897385,0.03599607199430466,0.0026089439634233713,290974.34375,5.844028683882332e+17,5.844028683882332e+17,0.0016720994608476758,30922.33203125,0.7657573223114014,30921.56640625
10,293.3802185058594,0.03471402823925018,0.0323680154979229,0.002346012508496642,290849.65625,4.854551369450783e+17,4.854551369450783e+17,0.0016399795422330499,30942.587890625,0.7622261643409729,30941.826171875
11,292.7989196777344,0.03353513032197952,0.03126876428723335,0.0022663662675768137,290720.34375,3.8352690435692954e+17,3.8352690435692954e+17,0.0016074702143669128,1828.3385009765625,0.7583772540092468,1827.580078125
12,292.5238342285156,0.02886655181646347,0.026915686205029488,0.0019508659606799483,290584.9375,2.938366141430497e+17,2.938366141430497e+17,0.0015754835912957788,20171.935546875,0.7543762922286987,20171.181640625
13,291.7492980957031,0.021113550290465355,0.01968664675951004,0.00142690259963274,290442.65625,2.468479711177605e+17,2.468479711177605e+17,0.0015469684731215239,413.0784912109375,0.7507568597793579,412.3277282714844
14,291.43719482421875,0.015824129804968834,0.014754712581634521,0.0010694171069189906,290293.1875,2.082552504217764e+17,2.082552504217764e+17,0.0015215057646855712,14453.3251953125,0.7472494840621948,14452.578125
15,291.1372985839844,0.015270457603037357,0.014238482341170311,0.0010319763096049428,290136.90625,1.696015068304507e+17,1.696015068304507e+17,0.001499158563092351,6723.7509765625,0.743798017501831,6723.00732421875
16,291.0682678222656,0.01674366556107998,0.015612136572599411,0.0011315293377265334,289974.40625,1.4211872406791782e+17,1.4211872406791782e+17,0.0014797935727983713,11452.4697265625,0.7404198050498962,11451.7294921875
17,290.8721923828125,0.01775122992694378,0.016551604494452477,0.001199623802676797,289806.8125,1.2843704561696768e+17,1.2843704561696768e+17,0.0014626241754740477,4935.583984375,0.7372866272926331,4934.8466796875
18,290.70538330078125,0.01772959530353546,0.01653142087161541,0.0011981755960732698,289635.6875,1.21019946334421e+17,1.21019946334421e+17,0.0014452716568484902,6214.955078125,0.7341776490211487,6214.220703125
19,290.4499816894531,0.016866913065314293,0.015727011486887932,0.0011398991337046027,289462.53125,1.1513042948010803e+17,1.1513042948010803e+17,0.0014268476516008377,2893.219970703125,0.7310544848442078,2892.489013671875
