variant,adam_obj,lbfgs_obj,pso_obj,best_stage,best_obj
baseline_original,19.5635929107666,3.2609121799468994,3260.533447265625,lbfgs,3.2609121799468994
baseline_from_adam_lbfgs5000,19.5635929107666,0.008148607797920704,,lbfgs,0.008148607797920704
baseline_from_adam_pso,19.5635929107666,,3260.533447265625,adam,19.5635929107666
