layers,neurons,obj_proxy_loss,obj_param_count
4,64,273.8826599121094,18029.0
6,97,240.5896453857422,78148.0
4,64,273.8826599121094,18029.0
6,97,240.5896453857422,78148.0
6,96,258.02117919921875,76575.0
5,82,265.1332092285156,42612.0
5,98,264.2376708984375,60324.0
6,88,260.0067138671875,64567.0
6,66,269.19189453125,36825.0
4,83,270.2557678222656,29676.0
4,83,270.2557678222656,29676.0
6,88,260.0067138671875,64567.0
6,66,269.19189453125,36825.0
5,98,264.2376708984375,60324.0
6,96,258.02117919921875,76575.0
6,97,240.5896453857422,78148.0
6,97,240.5896453857422,78148.0
6,97,240.5896453857422,78148.0
4,83,270.2557678222656,29676.0
6,96,258.02117919921875,76575.0
6,66,269.19189453125,36825.0
6,96,258.02117919921875,76575.0
5,98,264.2376708984375,60324.0
6,96,258.02117919921875,76575.0
