stage,nu,seed,rel_l2,run_time_seconds
adam,0.070000,44,5.84813158e-04,96.703427
lbfgs,0.070000,44,5.86222081e-04,96.769919
pso,0.070000,44,3.37827014e-01,103.491484
best:adam,0.070000,44,5.84813158e-04,96.703427
