y_coord,time_s,delta_temp_error_vs_baseline
-0.20000000298023224,0.0,-0.27935791015625
-0.20000000298023224,5.0,3.521728515625
-0.20000000298023224,10.0,4.06707763671875
-0.20000000298023224,15.0,3.88531494140625
-0.20000000298023224,20.0,3.91949462890625
-0.20000000298023224,25.0,4.081787109375
-0.20000000298023224,30.0,4.54791259765625
-0.06666666269302368,0.0,-2.643798828125
-0.06666666269302368,5.0,4.13104248046875
-0.06666666269302368,10.0,4.46099853515625
-0.06666666269302368,15.0,4.25689697265625
-0.06666666269302368,20.0,4.3460693359375
-0.06666666269302368,25.0,4.38824462890625
-0.06666666269302368,30.0,4.55419921875
0.06666667759418488,0.0,-4.48675537109375
0.06666667759418488,5.0,4.75714111328125
0.06666667759418488,10.0,4.857177734375
0.06666667759418488,15.0,4.62115478515625
0.06666667759418488,20.0,4.734619140625
0.06666667759418488,25.0,4.64935302734375
0.06666667759418488,30.0,4.5174560546875
0.19999998807907104,0.0,-5.17486572265625
0.19999998807907104,5.0,5.3929443359375
0.19999998807907104,10.0,5.2464599609375
0.19999998807907104,15.0,4.9677734375
0.19999998807907104,20.0,5.0748291015625
0.19999998807907104,25.0,4.8570556640625
0.19999998807907104,30.0,4.4342041015625
