y_coord,time_s,abs_temp_error
-0.20000000298023224,0.0,1.489501953125
-0.20000000298023224,5.0,467.7410888671875
-0.20000000298023224,10.0,459.38543701171875
-0.20000000298023224,15.0,454.31463623046875
-0.20000000298023224,20.0,451.2297058105469
-0.20000000298023224,25.0,449.38250732421875
-0.20000000298023224,30.0,448.2525634765625
-0.06666666269302368,0.0,0.6011962890625
-0.06666666269302368,5.0,465.32666015625
-0.06666666269302368,10.0,456.96087646484375
-0.06666666269302368,15.0,451.8892822265625
-0.06666666269302368,20.0,448.8125305175781
-0.06666666269302368,25.0,446.9407958984375
-0.06666666269302368,30.0,445.8018798828125
0.06666667759418488,0.0,0.39447021484375
0.06666667759418488,5.0,462.829345703125
0.06666667759418488,10.0,454.470947265625
0.06666667759418488,15.0,449.39727783203125
0.06666667759418488,20.0,446.3218688964844
0.06666667759418488,25.0,444.4464111328125
0.06666667759418488,30.0,443.3114013671875
0.19999998807907104,0.0,1.49591064453125
0.19999998807907104,5.0,460.25506591796875
0.19999998807907104,10.0,451.92236328125
0.19999998807907104,15.0,446.8411865234375
0.19999998807907104,20.0,443.7597961425781
0.19999998807907104,25.0,441.9033203125
0.19999998807907104,30.0,440.78564453125
