y_layer,x_coord,abs_uy_error
-0.20000000298023224,-0.6499999761581421,0.3545386493206024
-0.20000000298023224,-0.6337500214576721,0.34709423780441284
-0.20000000298023224,-0.6175000071525574,0.33958595991134644
-0.20000000298023224,-0.6012499928474426,0.3319967985153198
-0.20000000298023224,-0.5849999785423279,0.32433420419692993
-0.20000000298023224,-0.5687500238418579,0.3166062831878662
-0.20000000298023224,-0.5525000095367432,0.3088006377220154
-0.20000000298023224,-0.5362499952316284,0.3009271025657654
-0.20000000298023224,-0.5199999809265137,0.2929752767086029
-0.20000000298023224,-0.5037500262260437,0.284952312707901
-0.20000000298023224,-0.48750001192092896,0.2768568992614746
-0.20000000298023224,-0.4712499976158142,0.2686854302883148
-0.20000000298023224,-0.45500001311302185,0.2604418992996216
-0.20000000298023224,-0.4387499988079071,0.25212445855140686
-0.20000000298023224,-0.42250001430511475,0.2437276691198349
-0.20000000298023224,-0.40625,0.23526348173618317
-0.20000000298023224,-0.38999998569488525,0.2267185002565384
-0.20000000298023224,-0.3737500011920929,0.21810458600521088
-0.20000000298023224,-0.35749998688697815,0.20941482484340668
-0.20000000298023224,-0.3412500023841858,0.20065303146839142
-0.20000000298023224,-0.32499998807907104,0.19180718064308167
-0.20000000298023224,-0.3087500035762787,0.1828983873128891
-0.20000000298023224,-0.29249998927116394,0.17390958964824677
-0.20000000298023224,-0.2762500047683716,0.1648397445678711
-0.20000000298023224,-0.25999999046325684,0.1557043194770813
-0.20000000298023224,-0.24375000596046448,0.14648841321468353
-0.20000000298023224,-0.22750000655651093,0.13720490038394928
-0.20000000298023224,-0.21125000715255737,0.12783785164356232
-0.20000000298023224,-0.19499999284744263,0.11839909851551056
-0.20000000298023224,-0.17874999344348907,0.10888290405273438
-0.20000000298023224,-0.16249999403953552,0.0992964580655098
-0.20000000298023224,-0.14624999463558197,0.0896294042468071
-0.20000000298023224,-0.12999999523162842,0.07988855242729187
-0.20000000298023224,-0.11375000327825546,0.07006946951150894
-0.20000000298023224,-0.09749999642372131,0.06018253043293953
-0.20000000298023224,-0.08124999701976776,0.05021734535694122
-0.20000000298023224,-0.06499999761581421,0.04017772153019905
-0.20000000298023224,-0.04874999821186066,0.030058739706873894
-0.20000000298023224,-0.032499998807907104,0.019866330549120903
-0.20000000298023224,-0.016249999403953552,0.009598146192729473
-0.20000000298023224,0.0,0.000745710451155901
-0.20000000298023224,0.016249999403953552,0.011164006777107716
-0.20000000298023224,0.032499998807907104,0.021663649007678032
-0.20000000298023224,0.04874999821186066,0.03222980722784996
-0.20000000298023224,0.06499999761581421,0.042875006794929504
-0.20000000298023224,0.08124999701976776,0.053596895188093185
-0.20000000298023224,0.09749999642372131,0.06439134478569031
-0.20000000298023224,0.11375000327825546,0.0752672553062439
-0.20000000298023224,0.12999999523162842,0.08621316403150558
-0.20000000298023224,0.14624999463558197,0.09723345190286636
-0.20000000298023224,0.16249999403953552,0.10833308845758438
-0.20000000298023224,0.17874999344348907,0.11950842291116714
-0.20000000298023224,0.19499999284744263,0.13076026737689972
-0.20000000298023224,0.21125000715255737,0.14208553731441498
-0.20000000298023224,0.22750000655651093,0.15347713232040405
-0.20000000298023224,0.24375000596046448,0.1649542897939682
-0.20000000298023224,0.25999999046325684,0.17650073766708374
-0.20000000298023224,0.2762500047683716,0.18812242150306702
-0.20000000298023224,0.29249998927116394,0.19981732964515686
-0.20000000298023224,0.3087500035762787,0.2116074562072754
-0.20000000298023224,0.32499998807907104,0.22344839572906494
-0.20000000298023224,0.3412500023841858,0.23537278175354004
-0.20000000298023224,0.35749998688697815,0.2473718672990799
-0.20000000298023224,0.3737500011920929,0.25944748520851135
-0.20000000298023224,0.38999998569488525,0.27159231901168823
-0.20000000298023224,0.40625,0.2838088870048523
-0.20000000298023224,0.42250001430511475,0.29611101746559143
-0.20000000298023224,0.4387499988079071,0.30848604440689087
-0.20000000298023224,0.45500001311302185,0.3209322392940521
-0.20000000298023224,0.4712499976158142,0.3334452509880066
-0.20000000298023224,0.48750001192092896,0.34604382514953613
-0.20000000298023224,0.5037500262260437,0.35871416330337524
-0.20000000298023224,0.5199999809265137,0.37145155668258667
-0.20000000298023224,0.5362499952316284,0.38425934314727783
-0.20000000298023224,0.5525000095367432,0.3971483111381531
-0.20000000298023224,0.5687500238418579,0.4101092219352722
-0.20000000298023224,0.5849999785423279,0.42314210534095764
-0.20000000298023224,0.6012499928474426,0.43625500798225403
-0.20000000298023224,0.6175000071525574,0.449432373046875
-0.20000000298023224,0.6337500214576721,0.4626811444759369
-0.20000000298023224,0.6499999761581421,0.4760129749774933
-0.10000000149011612,-0.6499999761581421,0.35146769881248474
-0.10000000149011612,-0.6337500214576721,0.34412479400634766
-0.10000000149011612,-0.6175000071525574,0.3367067575454712
-0.10000000149011612,-0.6012499928474426,0.3292151987552643
-0.10000000149011612,-0.5849999785423279,0.321654736995697
-0.10000000149011612,-0.5687500238418579,0.3140178322792053
-0.10000000149011612,-0.5525000095367432,0.3063082695007324
-0.10000000149011612,-0.5362499952316284,0.2985309064388275
-0.10000000149011612,-0.5199999809265137,0.29067230224609375
-0.10000000149011612,-0.5037500262260437,0.28275182843208313
-0.10000000149011612,-0.48750001192092896,0.27474868297576904
-0.10000000149011612,-0.4712499976158142,0.26667189598083496
-0.10000000149011612,-0.45500001311302185,0.2585258185863495
-0.10000000149011612,-0.4387499988079071,0.2503073811531067
-0.10000000149011612,-0.42250001430511475,0.24200762808322906
-0.10000000149011612,-0.40625,0.23364309966564178
-0.10000000149011612,-0.38999998569488525,0.22520528733730316
-0.10000000149011612,-0.3737500011920929,0.2166876196861267
-0.10000000149011612,-0.35749998688697815,0.2080945521593094
-0.10000000149011612,-0.3412500023841858,0.19943153858184814
-0.10000000149011612,-0.32499998807907104,0.19068925082683563
-0.10000000149011612,-0.3087500035762787,0.1818760633468628
-0.10000000149011612,-0.29249998927116394,0.17298585176467896
-0.10000000149011612,-0.2762500047683716,0.16402806341648102
-0.10000000149011612,-0.25999999046325684,0.15498600900173187
-0.10000000149011612,-0.24375000596046448,0.14587827026844025
-0.10000000149011612,-0.22750000655651093,0.13669411838054657
