stage,beta,seed,rel_l2,run_time_seconds
adam,1.000000,43,5.32278318e-02,488.421166
lbfgs,1.000000,43,4.57574919e-03,554.691553
best:lbfgs,1.000000,43,4.57574919e-03,554.691553
