step,loss
0,50.76749038696289
1,50.14604568481445
2,49.61422348022461
3,49.122825622558594
4,48.64250946044922
5,48.15507507324219
6,47.64905548095703
7,47.11272430419922
8,46.55880355834961
9,46.0404167175293
10,45.64303970336914
11,45.44664764404297
12,45.44178771972656
13,45.51349639892578
14,45.56112289428711
15,45.552581787109375
16,45.501163482666016
17,45.42908477783203
18,45.34735870361328
19,45.25700378417969
20,45.162322998046875
21,45.07749938964844
22,45.022647857666016
23,45.0126838684082
24,45.042442321777344
25,45.079734802246094
26,45.083160400390625
27,45.0329475402832
28,44.94575500488281
29,44.85718536376953
30,44.795127868652344
31,44.76664352416992
32,44.76020812988281
33,44.75802230834961
34,44.7462043762207
35,44.71950149536133
36,44.68046188354492
37,44.6348876953125
38,44.587432861328125
39,44.5394172668457
40,44.49032974243164
41,44.440948486328125
42,44.393348693847656
43,44.34852600097656
44,44.30355453491211
45,44.251502990722656
46,44.18605041503906
47,44.104087829589844
48,44.00858688354492
49,43.905860900878906
50,43.79922866821289
51,43.68428421020508
52,43.54869842529297
53,43.381935119628906
54,43.18189239501953
55,42.95133590698242
56,42.69049072265625
57,42.38446807861328
58,42.00621795654297
59,41.537841796875
60,40.98727035522461
61,40.35643005371094
62,39.599151611328125
63,38.75545883178711
64,37.837730407714844
65,36.88058853149414
66,35.996368408203125
67,35.36041259765625
68,35.20417785644531
69,35.78287887573242
70,36.1121940612793
71,35.33326721191406
72,35.92620086669922
73,34.69206237792969
74,34.900123596191406
75,33.75138854980469
76,33.74830627441406
77,33.15479278564453
78,32.76299285888672
79,32.71034622192383
80,32.21565246582031
81,31.95061492919922
82,31.69671630859375
83,31.14143943786621
84,30.651275634765625
85,30.143173217773438
86,29.346574783325195
87,28.65890121459961
88,27.840221405029297
89,26.856239318847656
90,26.0001163482666
91,24.858964920043945
92,23.88419532775879
93,22.60464096069336
94,21.463401794433594
95,20.114994049072266
96,18.758060455322266
97,17.709617614746094
98,16.972097396850586
99,15.45852279663086
100,13.364707946777344
101,12.141691207885742
102,11.630912780761719
103,9.439481735229492
104,8.548487663269043
105,7.953749656677246
106,6.344172954559326
107,5.562938213348389
108,4.879470348358154
109,4.531601428985596
110,3.3647289276123047
111,2.9007816314697266
112,3.0095512866973877
113,2.4207940101623535
114,2.1455743312835693
115,1.6438877582550049
116,1.8183479309082031
117,1.7123022079467773
118,1.316034197807312
119,1.3618559837341309
120,1.3291276693344116
121,1.3883416652679443
122,1.142602562904358
123,1.3686550855636597
124,1.2849410772323608
125,1.2927323579788208
126,1.2830345630645752
127,1.382297396659851
128,1.2949155569076538
129,1.322499394416809
130,1.3731142282485962
131,1.331143856048584
132,1.3331211805343628
133,1.3333814144134521
134,1.3655027151107788
135,1.2889153957366943
136,1.325789451599121
137,1.3013103008270264
138,1.293920636177063
139,1.249558925628662
140,1.2719707489013672
141,1.243805170059204
142,1.2204939126968384
143,1.2139358520507812
144,1.2073477506637573
145,1.1855411529541016
146,1.168471336364746
147,1.1734442710876465
148,1.1517716646194458
149,1.1456425189971924
150,1.1359021663665771
151,1.1381335258483887
152,1.1207424402236938
153,1.1218414306640625
154,1.1167837381362915
155,1.1129785776138306
156,1.1058889627456665
157,1.105591893196106
158,1.1044546365737915
159,1.0975260734558105
160,1.0975908041000366
161,1.0957467555999756
162,1.095374584197998
163,1.0887738466262817
164,1.0889978408813477
165,1.0876429080963135
166,1.0852525234222412
167,1.0812779664993286
168,1.0787066221237183
169,1.078782320022583
170,1.0753064155578613
171,1.0726022720336914
172,1.0689777135849
173,1.067656397819519
174,1.06566321849823
175,1.0622453689575195
176,1.059444785118103
177,1.0562984943389893
178,1.0547078847885132
179,1.0522538423538208
180,1.0494240522384644
181,1.0467240810394287
182,1.0438014268875122
183,1.041886568069458
184,1.0396143198013306
185,1.037286400794983
186,1.0349204540252686
187,1.0322023630142212
188,1.0299938917160034
189,1.0277847051620483
190,1.0256820917129517
191,1.023777961730957
192,1.0215836763381958
193,1.0194929838180542
194,1.0173771381378174
195,1.0151246786117554
196,1.0130594968795776
197,1.0109570026397705
198,1.0088562965393066
199,1.0068942308425903
200,1.0048598051071167
201,1.0028647184371948
202,1.0009487867355347
203,0.9989808201789856
204,0.9970750212669373
205,0.9952583909034729
206,0.9934958219528198
207,0.9919767379760742
208,0.9909741282463074
209,0.9910386204719543
210,0.9933532476425171
211,1.00116765499115
212,1.0231027603149414
213,1.080700159072876
214,1.223196268081665
215,1.5270004272460938
216,2.0093507766723633
217,2.3540573120117188
218,1.8231489658355713
219,1.0376707315444946
220,1.2471072673797607
221,1.6565486192703247
222,1.2609938383102417
223,1.0015685558319092
224,1.3714113235473633
225,1.2975527048110962
226,0.9690728783607483
227,1.1712578535079956
228,1.298459768295288
229,1.0271618366241455
230,1.024408221244812
231,1.2477943897247314
232,1.1071184873580933
233,0.9595614671707153
234,1.1146029233932495
235,1.115963339805603
236,0.9608805179595947
237,1.0269907712936401
238,1.0833505392074585
239,0.9700192213058472
240,0.9799062013626099
241,1.0335246324539185
242,0.9704751968383789
243,0.9537346363067627
244,1.0035936832427979
245,0.9709926843643188
246,0.9421937465667725
247,0.9811412692070007
248,0.9765728712081909
249,0.9382451176643372
250,0.9542152285575867
251,0.9778531789779663
252,0.946701169013977
253,0.9325777292251587
254,0.9562978148460388
255,0.9536126852035522
256,0.928945004940033
257,0.9325794577598572
258,0.9456881880760193
259,0.9328062534332275
260,0.9206317067146301
261,0.926753044128418
262,0.9298668503761292
263,0.9201629757881165
264,0.9153124094009399
265,0.9190384149551392
266,0.9175190329551697
267,0.9116255044937134
268,0.9098023772239685
269,0.9114938378334045
270,0.9091688394546509
271,0.9050069451332092
272,0.9045403599739075
273,0.9051507711410522
274,0.902955174446106
275,0.8992761373519897
276,0.8989142179489136
277,0.8998328447341919
278,0.8978869915008545
279,0.8940668702125549
280,0.8920835852622986
281,0.8933545351028442
