stage,method,domain,seed,rel_l2,run_time_seconds
adam,nsga3,rectangular,42,2.72211491e-02,2591.991494
lbfgs,nsga3,rectangular,42,8.92217342e-04,2702.507439
pso,nsga3,rectangular,42,6.66569507e-01,2539.673446
