stage,beta,seed,rel_l2,run_time_seconds
adam,0.500000,46,4.26064171e-02,612.198570
lbfgs,0.500000,46,5.24770074e-03,651.105762
pso,0.500000,46,1.73215306e+00,645.693951
best:lbfgs,0.500000,46,5.24770074e-03,651.105762
