stage,beta,seed,rel_l2,run_time_seconds
adam,0.500000,45,3.80098566e-02,715.212142
lbfgs,0.500000,45,2.69221893e-03,774.880326
pso,0.500000,45,1.03308158e+00,761.152443
best:lbfgs,0.500000,45,2.69221893e-03,774.880326
