stage,beta,seed,rel_l2,run_time_seconds
adam,1.000000,44,2.04076888e-02,818.370925
lbfgs,1.000000,44,3.61647003e-03,859.273876
pso,1.000000,44,3.29587941e+00,866.743212
best:lbfgs,1.000000,44,3.61647003e-03,859.273876
