method,arch,seed_adam_obj,lbfgs_obj,pso_obj,best_new_stage,best_new_obj,baseline_obj,delta_vs_baseline_pct,old_pipeline_best_obj,delta_vs_old_pipeline_pct
nsga2,L6_N132,97.24772644042969,0.0049284580163657665,809.893798828125,lbfgs,0.0049284580163657665,3.2609121799468994,-99.84886259597319,4.310217380523682,-99.88565639314074
nsga3,L6_N141,94.10630798339844,0.01512310653924942,2025.5638427734375,lbfgs,0.01512310653924942,3.2609121799468994,-99.53623079357213,5.451700687408447,-99.72259837055657
bayesian,L5_N121,148.88018798828125,0.021403033286333084,864.7083740234375,lbfgs,0.021403033286333084,3.2609121799468994,-99.34364889008812,0.027310121804475784,-21.629667419405664
