method,layers,neurons,adam_objective,trial_dir,lbfgs_target_dir,pso_target_dir
nsga2,6,132,97.24772644042969,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/pipeline/nsga2/search_trials/eval_00021_L6_N132,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/lbfgs/nsga2/L6_N132,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/pso/nsga2/L6_N132
nsga3,6,141,94.10630798339844,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/pipeline/nsga3/search_trials/eval_00046_L6_N141,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/lbfgs/nsga3/L6_N141,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/pso/nsga3/L6_N141
bayesian,5,121,148.88018798828125,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/pipeline/bayesian/search_trials/eval_00002_L5_N121,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/lbfgs/bayesian/L5_N121,/home/coder/NAS-PINNS1/NAS-PINNS2/results/quench2026/best_adam_lbfgs5000/pso/bayesian/L5_N121
