variant,adam_obj,lbfgs_obj,pso_obj,best_stage,best_obj
baseline_original,182.68833923339844,,,adam,182.68833923339844
baseline_from_adam_lbfgs5000,182.68833923339844,0.016497893258929253,,lbfgs,0.016497893258929253
baseline_from_adam_pso,182.68833923339844,,772.0341796875,adam,182.68833923339844
