stage,beta,seed,rel_l2,run_time_seconds
adam,0.500000,44,2.20807792e-02,736.371983
lbfgs,0.500000,44,5.15370388e-03,780.672571
best:lbfgs,0.500000,44,5.15370388e-03,780.672571
