eval,layers,neurons,obj_proxy_loss,obj_param_count
1,4,155,2.87205933e+02,100020.0
2,5,121,2.86187195e+02,91167.0
3,4,122,2.85901886e+02,62631.0
4,3,125,2.92967621e+02,34161.0
5,3,119,2.88759918e+02,31095.0
6,5,152,2.86463928e+02,142782.0
7,3,151,2.88982422e+02,49111.0
8,6,154,2.84499725e+02,194257.0
9,6,156,2.81999969e+02,199275.0
10,6,158,2.85405914e+02,204357.0
