epoch,total,physics,heat,visc,ic,bc,bc_disp,bc_flux,data,data_temp,data_disp
0,673.8597412109375,0.3455764353275299,0.3222214877605438,0.023354973644018173,291747.8125,5.30585256911679e+19,5.30585256911679e+19,0.0016328265191987157,31177454.0,0.74076247215271,31177454.0
1,310.32696533203125,0.10125462710857391,0.09441209584474564,0.0068425401113927364,291718.8125,9.783531429764792e+18,9.783531429764792e+18,0.001511255744844675,376184.90625,0.7406608462333679,376184.15625
2,335.3572692871094,0.09167417883872986,0.0854787826538086,0.006195393390953541,291545.6875,3.721841912219435e+18,3.721841912219435e+18,0.001499923411756754,3550600.0,0.7441626191139221,3550599.25
3,294.5215148925781,0.03659550100564957,0.03412231430411339,0.0024731892626732588,291333.0,1.3348649779194757e+18,1.3348649779194757e+18,0.0015276657650247216,2387.828857421875,0.7461414933204651,2387.082763671875
4,294.81414794921875,0.016495149582624435,0.015380403026938438,0.0011147467885166407,291107.34375,1.8388093649582817e+18,1.8388093649582817e+18,0.001531044952571392,104319.828125,0.7465067505836487,104319.078125
5,310.58880615234375,0.046026233583688736,0.04291585460305214,0.0031103752553462982,290881.5625,1.210731764411007e+18,1.210731764411007e+18,0.0015214472077786922,1619521.625,0.746371328830719,1619520.875
6,313.4391174316406,0.04622187465429306,0.0430983230471611,0.0031235497444868088,290676.375,2.6217917986237317e+18,2.6217917986237317e+18,0.0015055055264383554,1782982.75,0.745918333530426,1782982.0
7,296.8753967285156,0.03956320136785507,0.03688957914710045,0.0026736247818917036,290491.15625,2.065172008521433e+18,2.065172008521433e+18,0.0015089729567989707,234089.578125,0.745752215385437,234088.828125
8,296.9566650390625,0.036577507853507996,0.03410561382770538,0.0024718951899558306,290313.5625,1.8974000031402557e+18,1.8974000031402557e+18,0.0015065405750647187,291679.71875,0.7455018162727356,291678.96875
9,298.04754638671875,0.03309424966573715,0.030857723206281662,0.0022365262266248465,290138.3125,1.9239525217562788e+18,1.9239525217562788e+18,0.0014962144196033478,433053.84375,0.7450231909751892,433053.09375
10,294.9460754394531,0.026390565559267998,0.024607013911008835,0.0017835507169365883,289964.9375,1.7645948039845642e+18,1.7645948039845642e+18,0.0014947436284273863,189701.484375,0.7446850538253784,189700.734375
11,296.36322021484375,0.02741052210330963,0.02555800974369049,0.0018525151535868645,289794.375,1.5121704363082383e+18,1.5121704363082383e+18,0.0014953422360122204,368613.46875,0.744117796421051,368612.71875
12,292.2794494628906,0.02562635764479637,0.0238944198936224,0.0017319367034360766,289627.65625,1.2534728050396365e+18,1.2534728050396365e+18,0.0014837512280791998,11700.5576171875,0.7430965900421143,11699.814453125
13,294.5882873535156,0.02356019988656044,0.021967897191643715,0.0015923030441626906,289464.3125,1.047151028635435e+18,1.047151028635435e+18,0.001468848087824881,289881.28125,0.7417231202125549,289880.53125
14,291.3526916503906,0.02435041032731533,0.022704705595970154,0.0016457061283290386,289305.59375,7.913916360336343e+17,7.913916360336343e+17,0.0014575745444744825,3816.555908203125,0.7402693033218384,3815.815673828125
15,292.6158752441406,0.027345726266503334,0.025497591122984886,0.0018481338629499078,289153.28125,6.31608269823017e+17,6.31608269823017e+17,0.0014447588473558426,146369.0625,0.738561749458313,146368.328125
16,291.2408752441406,0.03063463792204857,0.028564222157001495,0.002070412738248706,289007.8125,5.807211537026253e+17,5.807211537026253e+17,0.001430822885595262,12060.7265625,0.7367338538169861,12059.990234375
17,292.82977294921875,0.029944011941552162,0.027920261025428772,0.0020237527787685394,288867.0,5.452114292511867e+17,5.452114292511867e+17,0.0014178587589412928,192037.5625,0.7348379492759705,192036.828125
18,290.8634033203125,0.025540651753544807,0.023814473301172256,0.0017261782195419073,288727.8125,4.8149864743174144e+17,4.8149864743174144e+17,0.0014067267766222358,37703.89453125,0.7328962683677673,37703.16015625
19,290.9097900390625,0.023187799379229546,0.021620629355311394,0.0015671756118535995,288586.625,4.294271854895432e+17,4.294271854895432e+17,0.001396156963892281,73434.09375,0.73093581199646,73433.359375
20,290.1839904785156,0.023179709911346436,0.02161307819187641,0.0015666342806071043,288440.59375,4.022422758888571e+17,4.022422758888571e+17,0.001384709612466395,18211.669921875,0.7289357781410217,18210.94140625
21,291.6263732910156,0.02146381139755249,0.02001313492655754,0.0014506722800433636,288289.375,3.7412199113057894e+17,3.7412199113057894e+17,0.0013726248871535063,188968.921875,0.7269230484962463,188968.1875
22,290.55499267578125,0.019530311226844788,0.01821030303835869,0.0013200057437643409,288136.21875,3.582755546731643e+17,3.582755546731643e+17,0.00136379967443645,108397.9765625,0.7251775860786438,108397.25
23,289.64532470703125,0.019025353714823723,0.017739467322826385,0.0012858860427513719,287980.125,3.336756999885947e+17,3.336756999885947e+17,0.0013522068038582802,38024.125,0.7231898903846741,38023.40234375
24,290.5694580078125,0.019481899216771126,0.01816515065729618,0.0013167473953217268,287823.71875,3.123439718188974e+17,3.123439718188974e+17,0.0013375013368204236,145928.046875,0.7209221124649048,145927.328125
25,288.9267883300781,0.018930619582533836,0.01765112392604351,0.0012794946087524295,287670.8125,3.0062822874834534e+17,3.0062822874834534e+17,0.0013242956483736634,878.17333984375,0.7186471819877625,877.4547119140625
26,289.36724853515625,0.017978563904762268,0.016763417050242424,0.0012151442933827639,287519.40625,2.923119351127081e+17,2.923119351127081e+17,0.0013088659616187215,65660.2109375,0.7161376476287842,65659.4921875
27,288.58038330078125,0.017375556752085686,0.01620117761194706,0.001174377161078155,287366.875,2.9060099194067354e+17,2.9060099194067354e+17,0.0012905483599752188,5413.171875,0.7133733630180359,5412.45849609375
28,288.6881103515625,0.016691744327545166,0.015563585795462132,0.0011281578335911036,287211.53125,2.88602938794836e+17,2.88602938794836e+17,0.0012701107189059258,35335.84765625,0.7103411555290222,35335.13671875
29,288.5306091308594,0.01691419631242752,0.01577100157737732,0.0011431938037276268,287052.4375,2.6716302898888704e+17,2.6716302898888704e+17,0.0012485223123803735,36528.140625,0.7071050405502319,36527.43359375
30,288.0067138671875,0.017651831731200218,0.016458770260214806,0.0011930608889088035,286889.0625,2.307070717025321e+17,2.307070717025321e+17,0.0012276321649551392,433.6784362792969,0.7040908336639404,432.9743347167969
31,288.0430603027344,0.016700053587555885,0.015571290627121925,0.001128762261942029,286721.6875,2.0293844168658125e+17,2.0293844168658125e+17,0.001210876158438623,28340.205078125,0.7017396092414856,28339.50390625
32,287.6128845214844,0.01600545644760132,0.014923624694347382,0.0010818315204232931,286550.875,1.8547196074498458e+17,1.8547196074498458e+17,0.0011960555566474795,7623.435546875,0.6997331976890564,7622.73583984375
33,287.4571533203125,0.016133086755871773,0.015042636543512344,0.0010904499795287848,286376.59375,1.7605728935293747e+17,1.7605728935293747e+17,0.0011810391442850232,9783.44921875,0.6976774334907532,9782.751953125
34,287.420166015625,0.016667554154992104,0.015540994703769684,0.0011265598004683852,286198.65625,1.6583794724805018e+17,1.6583794724805018e+17,0.0011654729023575783,22228.330078125,0.6954047679901123,22227.634765625
35,286.9961853027344,0.016584668308496475,0.015463708899915218,0.001120958593674004,286017.15625,1.4897616334199194e+17,1.4897616334199194e+17,0.0011493007186800241,78.3316650390625,0.6928703784942627,77.6387939453125
36,286.9815979003906,0.01598522998392582,0.014904772862792015,0.0010804594494402409,285832.65625,1.310765005888553e+17,1.310765005888553e+17,0.0011315238662064075,21860.025390625,0.690045952796936,21859.3359375
37,286.61883544921875,0.015803813934326172,0.014735609292984009,0.0010682034771889448,285645.90625,1.2552410430753997e+17,1.2552410430753997e+17,0.0011135548120364547,5719.9482421875,0.6870998740196228,5719.26123046875
