stage,beta,seed,rel_l2,run_time_seconds
adam,0.100000,43,2.71562819e-02,497.617997
lbfgs,0.100000,43,4.51257091e-03,519.937991
best:lbfgs,0.100000,43,4.51257091e-03,519.937991
