stage,beta,seed,rel_l2,run_time_seconds
adam,0.500000,47,1.80889974e-02,718.349671
lbfgs,0.500000,47,1.00729135e-02,727.584871
pso,0.500000,47,9.62370394e-01,764.036909
best:lbfgs,0.500000,47,1.00729135e-02,727.584871
