stage,beta,seed,rel_l2,run_time_seconds
adam,0.500000,44,3.47285489e-02,842.890193
lbfgs,0.500000,44,6.46825927e-03,912.721082
pso,0.500000,44,1.45187988e+00,889.418948
best:lbfgs,0.500000,44,6.46825927e-03,912.721082
