method,arch,adam,lbfgs,pso
baseline,L5_N96,19.5635929107666,3.2609121799468994,3260.533447265625
nsga2,L6_N132,8.331409454345703,4.310217380523682,4584.9853515625
nsga3,L6_N141,14.64094066619873,5.451700687408447,8739.5283203125
bayesian,L5_N121,0.0273101218044757,0.0424946881830692,5481.6689453125
