method,best_architecture,pipeline_best_stage,pipeline_best_obj,seed_adam_obj,lbfgs5000_obj,pso_obj,best_after_refine_stage,best_after_refine_obj,improvement_vs_pipeline_pct,rank_after_refine,quality_score_vs_best_pct
nsga2,L6_N132,lbfgs,4.310217380523682,97.24772644042967,0.0049284580163657,809.893798828125,lbfgs,0.0049284580163657,99.88565639314074,1,100.0
baseline,L5_N96,lbfgs,3.2609121799468994,19.5635929107666,0.0081486077979207,3260.533447265625,lbfgs,0.0081486077979207,99.75011262652116,2,60.482
nsga3,L6_N141,lbfgs,5.451700687408447,94.10630798339844,0.0151231065392494,2025.5638427734373,lbfgs,0.0151231065392494,99.72259837055655,3,32.589
bayesian,L5_N121,adam,0.0273101218044757,148.88018798828125,0.021403033286333,864.7083740234375,lbfgs,0.021403033286333,21.629667419405664,4,23.027
