method,arch,adam,lbfgs,pso
baseline,L5_N96,19.5635929107666,0.0081486077979207,3260.533447265625
nsga2,L6_N132,97.24772644042967,0.0049284580163657,809.893798828125
nsga3,L6_N141,94.10630798339844,0.0151231065392494,2025.5638427734373
bayesian,L5_N121,148.88018798828125,0.021403033286333,864.7083740234375
