stage,domain,seed,rel_l2,run_time_seconds
adam,circle,43,2.32494231e-02,429.500726
lbfgs,circle,43,2.54081746e-03,501.671262
pso,circle,43,3.49161868e-01,438.710278
best:lbfgs,circle,43,2.54081746e-03,501.671262
