x,y,exact,predicted,abs_error
-0.08617233484983444,-0.9959920048713684,-0.9635026454925537,-0.43219929933547974,0.531303346157074
-0.08216431736946106,-0.9959920048713684,-0.9667931795120239,-0.4391706585884094,0.5276225209236145
-0.07815629988908768,-0.9959920048713684,-0.9699304699897766,-0.4460316300392151,0.5238988399505615
-0.0741482824087143,-0.9959920048713684,-0.9729139804840088,-0.45277997851371765,0.5201339721679688
-0.07014027237892151,-0.9959920048713684,-0.9757431745529175,-0.4594142436981201,0.5163289308547974
-0.06613225489854813,-0.9959920048713684,-0.9784177541732788,-0.4659329056739807,0.5124848484992981
-0.062124237418174744,-0.9959920048713684,-0.980937123298645,-0.4723341464996338,0.5086029767990112
-0.05811621993780136,-0.9959920048713684,-0.983301043510437,-0.4786168932914734,0.5046841502189636
-0.05410820245742798,-0.9959920048713684,-0.9855089783668518,-0.4847796559333801,0.5007293224334717
-0.050100188702344894,-0.9959920048713684,-0.9875607490539551,-0.4908207654953003,0.4967399835586548
-0.04609217122197151,-0.9959920048713684,-0.9894559383392334,-0.4967387318611145,0.4927172064781189
-0.04208415746688843,-0.9959920048713684,-0.9911942481994629,-0.5025336742401123,0.4886605739593506
-0.038076139986515045,-0.9959920048713684,-0.9927753806114197,-0.508203387260437,0.48457199335098267
-0.03406812250614166,-0.9959920048713684,-0.9941991567611694,-0.5137474536895752,0.48045170307159424
-0.03006010875105858,-0.9959920048713684,-0.9954652786254883,-0.5191633105278015,0.47630196809768677
-0.026052091270685196,-0.9959920048713684,-0.9965735077857971,-0.5244523286819458,0.4721211791038513
-0.022044075652956963,-0.9959920048713684,-0.997523844242096,-0.5296115875244141,0.4679122567176819
-0.01803606003522873,-0.9959920048713684,-0.9983159899711609,-0.5346423387527466,0.4636736512184143
-0.014028043486177921,-0.9959920048713684,-0.9989498257637024,-0.5395427346229553,0.45940709114074707
-0.010020026937127113,-0.9959920048713684,-0.9994253516197205,-0.5443130135536194,0.4551123380661011
-0.00601201131939888,-0.9959920048713684,-0.9997423887252808,-0.5489503741264343,0.45079201459884644
-0.0020039952360093594,-0.9959920048713684,-0.9999009370803833,-0.5534569025039673,0.446444034576416
0.0020039952360093594,-0.9959920048713684,-0.9999009370803833,-0.5578306317329407,0.4420703053474426
0.00601201131939888,-0.9959920048713684,-0.9997423887252808,-0.5620721578598022,0.4376702308654785
0.010020026937127113,-0.9959920048713684,-0.9994253516197205,-0.5661816000938416,0.4332437515258789
0.014028043486177921,-0.9959920048713684,-0.9989498257637024,-0.5701580047607422,0.4287918210029602
0.01803606003522873,-0.9959920048713684,-0.9983159899711609,-0.5740010738372803,0.4243149161338806
0.022044075652956963,-0.9959920048713684,-0.997523844242096,-0.5777112245559692,0.4198126196861267
0.026052091270685196,-0.9959920048713684,-0.9965735077857971,-0.5812886953353882,0.41528481245040894
0.03006010875105858,-0.9959920048713684,-0.9954652786254883,-0.5847336053848267,0.4107316732406616
0.03406812250614166,-0.9959920048713684,-0.9941991567611694,-0.5880462527275085,0.4061529040336609
0.038076139986515045,-0.9959920048713684,-0.9927753806114197,-0.59122633934021,0.4015490412712097
0.04208415746688843,-0.9959920048713684,-0.9911942481994629,-0.5942736864089966,0.3969205617904663
0.04609217122197151,-0.9959920048713684,-0.9894559383392334,-0.5971903800964355,0.39226555824279785
0.050100188702344894,-0.9959920048713684,-0.9875607490539551,-0.5999754667282104,0.38758528232574463
0.05410820245742798,-0.9959920048713684,-0.9855089783668518,-0.6026304960250854,0.38287848234176636
0.05811621993780136,-0.9959920048713684,-0.983301043510437,-0.6051557660102844,0.3781452775001526
0.062124237418174744,-0.9959920048713684,-0.980937123298645,-0.6075513958930969,0.3733857274055481
0.06613225489854813,-0.9959920048713684,-0.9784177541732788,-0.6098179221153259,0.3685998320579529
0.07014027237892151,-0.9959920048713684,-0.9757431745529175,-0.611956775188446,0.36378639936447144
0.0741482824087143,-0.9959920048713684,-0.9729139804840088,-0.6139691472053528,0.358944833278656
0.07815629988908768,-0.9959920048713684,-0.9699304699897766,-0.6158549785614014,0.35407549142837524
0.08216431736946106,-0.9959920048713684,-0.9667931795120239,-0.6176162362098694,0.34917694330215454
0.08617233484983444,-0.9959920048713684,-0.9635026454925537,-0.6192529797554016,0.3442496657371521
-0.12625248730182648,-0.991983950138092,-0.9220741391181946,-0.3585699796676636,0.563504159450531
