stage,beta,seed,rel_l2,run_time_seconds
adam,0.100000,44,3.91801491e-02,713.228444
lbfgs,0.100000,44,4.20385275e-03,741.611896
best:lbfgs,0.100000,44,4.20385275e-03,741.611896
