mode,rel_l2,run_time_seconds,wall_time_seconds,save_dir,params
baseline,0.417379429,158.718481,162.11634084396064,results/pso_compare/burgers-nsga2/baseline,{}
pso_best,0.513961326,69.289974,72.56144500896335,results/pso_compare/burgers-nsga2/pso_best,"{""epochs"": 3986, ""lr"": 0.00110358217272103, ""lambda-ic"": 26.541964291365275, ""lambda-bc"": 95.81278287303601}"
