layers,neurons,obj_proxy_loss,obj_param_count
3,107,290.4950256347656,25395.0
4,106,286.4210510253906,47639.0
3,134,289.8393249511719,39030.0
5,122,286.34466552734375,92652.0
6,107,281.83251953125,94758.0
