stage,beta,seed,rel_l2,run_time_seconds
adam,0.500000,43,3.50582221e-02,478.016045
lbfgs,0.500000,43,2.76397784e-03,511.439325
best:lbfgs,0.500000,43,2.76397784e-03,511.439325
