x,y,exact,predicted,abs_error
-0.31142285466194153,-1.2597193717956543,-0.38259652256965637,-0.3926890194416046,0.010092496871948242
-0.30581164360046387,-1.2597193717956543,-0.3925568163394928,-0.4035206139087677,0.010963797569274902
-0.3002004027366638,-1.2597193717956543,-0.4023951292037964,-0.4141988754272461,0.011803746223449707
-0.29458919167518616,-1.2597193717956543,-0.4121083915233612,-0.4247188866138458,0.01261049509048462
-0.2889779806137085,-1.2597193717956543,-0.4216935932636261,-0.4350779950618744,0.013384401798248291
-0.3394789695739746,-1.254108190536499,-0.3372270464897156,-0.3420220613479614,0.00479501485824585
-0.33386775851249695,-1.254108190536499,-0.3479456603527069,-0.35371607542037964,0.0057704150676727295
-0.3282565176486969,-1.254108190536499,-0.3585561513900757,-0.36527806520462036,0.006721913814544678
-0.32264530658721924,-1.254108190536499,-0.36905527114868164,-0.376701295375824,0.007646024227142334
-0.3170340955257416,-1.254108190536499,-0.3794395923614502,-0.3879821300506592,0.008542537689208984
-0.31142285466194153,-1.254108190536499,-0.3897061049938202,-0.39911696314811707,0.009410858154296875
-0.30581164360046387,-1.254108190536499,-0.3998515009880066,-0.4101012647151947,0.01024976372718811
-0.3002004027366638,-1.254108190536499,-0.4098726212978363,-0.42093122005462646,0.011058598756790161
-0.29458919167518616,-1.254108190536499,-0.419766366481781,-0.43160122632980347,0.011834859848022461
-0.2889779806137085,-1.254108190536499,-0.42952969670295715,-0.44210922718048096,0.012579530477523804
-0.28336673974990845,-1.254108190536499,-0.4391595423221588,-0.4524496793746948,0.01329013705253601
-0.2777555286884308,-1.254108190536499,-0.44865289330482483,-0.46261876821517944,0.013965874910354614
-0.2721443176269531,-1.254108190536499,-0.4580068588256836,-0.4726136326789856,0.014606773853302002
-0.2665330767631531,-1.254108190536499,-0.4672185480594635,-0.482430636882782,0.015212088823318481
-0.2609218657016754,-1.254108190536499,-0.4762849509716034,-0.49206507205963135,0.015780121088027954
-0.25531065464019775,-1.254108190536499,-0.48520341515541077,-0.5015141367912292,0.01631072163581848
-0.35631263256073,-1.2484970092773438,-0.30991578102111816,-0.3112674653530121,0.001351684331893921
-0.3507014214992523,-1.2484970092773438,-0.32113632559776306,-0.3234966993331909,0.0023603737354278564
-0.34509021043777466,-1.2484970092773438,-0.3322570025920868,-0.33560416102409363,0.003347158432006836
-0.3394789695739746,-1.2484970092773438,-0.34327447414398193,-0.3475860059261322,0.0043115317821502686
-0.33386775851249695,-1.2484970092773438,-0.3541853129863739,-0.3594377040863037,0.00525239109992981
-0.3282565176486969,-1.2484970092773438,-0.3649860918521881,-0.3711545467376709,0.006168454885482788
-0.32264530658721924,-1.2484970092773438,-0.37567347288131714,-0.38273298740386963,0.00705951452255249
-0.3170340955257416,-1.2484970092773438,-0.3862440288066864,-0.39416712522506714,0.007923096418380737
-0.31142285466194153,-1.2484970092773438,-0.3966946601867676,-0.40545418858528137,0.008759528398513794
-0.30581164360046387,-1.2484970092773438,-0.40702196955680847,-0.4165894389152527,0.009567469358444214
-0.3002004027366638,-1.2484970092773438,-0.417222797870636,-0.4275679588317871,0.010345160961151123
-0.29458919167518616,-1.2484970092773438,-0.427293986082077,-0.43838679790496826,0.011092811822891235
-0.2889779806137085,-1.2484970092773438,-0.4372324049472809,-0.44904008507728577,0.011807680130004883
-0.28336673974990845,-1.2484970092773438,-0.44703492522239685,-0.45952633023262024,0.012491405010223389
-0.2777555286884308,-1.2484970092773438,-0.45669853687286377,-0.4698401987552643,0.013141661882400513
-0.2721443176269531,-1.2484970092773438,-0.4662202298641205,-0.47997766733169556,0.013757437467575073
-0.2665330767631531,-1.2484970092773438,-0.4755971133708954,-0.489935040473938,0.014337927103042603
-0.2609218657016754,-1.2484970092773438,-0.48482611775398254,-0.4997096657752991,0.014883548021316528
-0.25531065464019775,-1.2484970092773438,-0.4939045011997223,-0.5092962980270386,0.015391796827316284
-0.2496994137763977,-1.2484970092773438,-0.5028294324874878,-0.5186909437179565,0.01586151123046875
-0.24408820271492004,-1.2484970092773438,-0.5115981101989746,-0.5278922915458679,0.01629418134689331
-0.2384769767522812,-1.2484970092773438,-0.5202078223228455,-0.5368961691856384,0.01668834686279297
-0.3675350844860077,-1.242885708808899,-0.2921595275402069,-0.29115617275238037,0.001003354787826538
-0.36192387342453003,-1.242885708808899,-0.3037666082382202,-0.30377382040023804,7.212162017822266e-06
-0.35631263256073,-1.242885708808899,-0.3152793347835541,-0.31627821922302246,0.0009988844394683838
-0.3507014214992523,-1.242885708808899,-0.3266940712928772,-0.32866472005844116,0.001970648765563965
-0.34509021043777466,-1.242885708808899,-0.33800721168518066,-0.3409288227558136,0.0029216110706329346
-0.3394789695739746,-1.242885708808899,-0.3492153584957123,-0.35306739807128906,0.0038520395755767822
-0.33386775851249695,-1.242885708808899,-0.3603150248527527,-0.36507365107536316,0.004758626222610474
-0.3282565176486969,-1.242885708808899,-0.3713027238845825,-0.37694382667541504,0.0056411027908325195
-0.32264530658721924,-1.242885708808899,-0.3821750581264496,-0.38867393136024475,0.006498873233795166
-0.3170340955257416,-1.242885708808899,-0.3929285407066345,-0.40025967359542847,0.007331132888793945
-0.31142285466194153,-1.242885708808899,-0.4035600423812866,-0.4116969108581543,0.008136868476867676
-0.30581164360046387,-1.242885708808899,-0.4140661060810089,-0.4229798913002014,0.008913785219192505
-0.3002004027366638,-1.242885708808899,-0.42444345355033875,-0.4341064691543579,0.009663015604019165
-0.29458919167518616,-1.242885708808899,-0.434688925743103,-0.4450710415840149,0.010382115840911865
-0.2889779806137085,-1.242885708808899,-0.44479936361312866,-0.45587027072906494,0.01107090711593628
-0.28336673974990845,-1.242885708808899,-0.4547715485095978,-0.4664992094039917,0.011727660894393921
-0.2777555286884308,-1.242885708808899,-0.46460238099098206,-0.47695469856262207,0.012352317571640015
-0.2721443176269531,-1.242885708808899,-0.47428885102272034,-0.4872320294380188,0.012943178415298462
-0.2665330767631531,-1.242885708808899,-0.48382800817489624,-0.4973294138908386,0.013501405715942383
-0.2609218657016754,-1.242885708808899,-0.49321675300598145,-0.5072399377822876,0.014023184776306152
-0.25531065464019775,-1.242885708808899,-0.5024522542953491,-0.5169627070426941,0.01451045274734497
-0.2496994137763977,-1.242885708808899,-0.51153165102005,-0.5264935493469238,0.01496189832687378
-0.24408820271492004,-1.242885708808899,-0.520452082157135,-0.5358265042304993,0.015374422073364258
-0.2384769767522812,-1.242885708808899,-0.5292107462882996,-0.5449625849723816,0.01575183868408203
-0.23286575078964233,-1.242885708808899,-0.5378049612045288,-0.5538936257362366,0.016088664531707764
-0.22725452482700348,-1.242885708808899,-0.5462321043014526,-0.5626201629638672,0.01638805866241455
-0.37314629554748535,-1.2372745275497437,-0.28514564037323,-0.2828913629055023,0.002254277467727661
-0.3675350844860077,-1.2372745275497437,-0.29703882336616516,-0.29577508568763733,0.001263737678527832
-0.36192387342453003,-1.2372745275497437,-0.3088397681713104,-0.3085493743419647,0.0002903938293457031
-0.35631263256073,-1.2372745275497437,-0.3205447494983673,-0.321210652589798,0.0006659030914306641
-0.3507014214992523,-1.2372745275497437,-0.3321501314640045,-0.33375221490859985,0.001602083444595337
-0.34509021043777466,-1.2372745275497437,-0.34365221858024597,-0.34617170691490173,0.0025194883346557617
-0.3394789695739746,-1.2372745275497437,-0.3550475537776947,-0.35846230387687683,0.003414750099182129
-0.33386775851249695,-1.2372745275497437,-0.3663325905799866,-0.3706204295158386,0.004287838935852051
-0.3282565176486969,-1.2372745275497437,-0.37750378251075745,-0.3826426565647125,0.005138874053955078
-0.32264530658721924,-1.2372745275497437,-0.38855770230293274,-0.39452287554740906,0.005965173244476318
-0.3170340955257416,-1.2372745275497437,-0.3994907736778259,-0.4062577486038208,0.006766974925994873
-0.31142285466194153,-1.2372745275497437,-0.4102998375892639,-0.41784191131591797,0.007542073726654053
-0.30581164360046387,-1.2372745275497437,-0.42098134756088257,-0.42927175760269165,0.008290410041809082
-0.3002004027366638,-1.2372745275497437,-0.43153202533721924,-0.4405435621738434,0.009011536836624146
-0.29458919167518616,-1.2372745275497437,-0.4419485926628113,-0.45165160298347473,0.009703010320663452
-0.2889779806137085,-1.2372745275497437,-0.4522278606891632,-0.4625929594039917,0.010365098714828491
-0.28336673974990845,-1.2372745275497437,-0.46236661076545715,-0.47336339950561523,0.010996788740158081
-0.2777555286884308,-1.2372745275497437,-0.47236162424087524,-0.4839581847190857,0.01159656047821045
-0.2721443176269531,-1.2372745275497437,-0.4822098910808563,-0.4943745732307434,0.012164682149887085
-0.2665330767631531,-1.2372745275497437,-0.49190834164619446,-0.5046072006225586,0.012698858976364136
-0.2609218657016754,-1.2372745275497437,-0.5014538764953613,-0.5146539211273193,0.013200044631958008
-0.25531065464019775,-1.2372745275497437,-0.5108436346054077,-0.5245103240013123,0.013666689395904541
-0.2496994137763977,-1.2372745275497437,-0.5200746059417725,-0.5341722965240479,0.01409769058227539
-0.24408820271492004,-1.2372745275497437,-0.5291440486907959,-0.5436376333236694,0.014493584632873535
-0.2384769767522812,-1.2372745275497437,-0.538049042224884,-0.5529017448425293,0.014852702617645264
-0.23286575078964233,-1.2372745275497437,-0.5467867255210876,-0.5619615912437439,0.01517486572265625
-0.22725452482700348,-1.2372745275497437,-0.555354654788971,-0.5708136558532715,0.015459001064300537
-0.22164329886436462,-1.2372745275497437,-0.5637499690055847,-0.5794551372528076,0.0157051682472229
-0.21603208780288696,-1.2372745275497437,-0.5719700455665588,-0.5878825783729553,0.015912532806396484
-0.38436874747276306,-1.2316633462905884,-0.26530489325523376,-0.26088809967041016,0.004416793584823608
-0.3787575364112854,-1.2316633462905884,-0.27756601572036743,-0.2741338312625885,0.0034321844577789307
-0.37314629554748535,-1.2316633462905884,-0.28974103927612305,-0.2872789204120636,0.0024621188640594482
-0.3675350844860077,-1.2316633462905884,-0.3018258810043335,-0.30031806230545044,0.0015078186988830566
-0.36192387342453003,-1.2316633462905884,-0.31381702423095703,-0.31324687600135803,0.000570148229598999
-0.35631263256073,-1.2316633462905884,-0.325710654258728,-0.32606205344200134,0.00035139918327331543
-0.3507014214992523,-1.2316633462905884,-0.337503045797348,-0.33875787258148193,0.0012548267841339111
-0.34509021043777466,-1.2316633462905884,-0.34919050335884094,-0.3513278663158417,0.0021373629570007324
-0.3394789695739746,-1.2316633462905884,-0.36076948046684265,-0.3637695014476776,0.003000020980834961
-0.33386775851249695,-1.2316633462905884,-0.3722364008426666,-0.3760783076286316,0.003841906785964966
-0.3282565176486969,-1.2316633462905884,-0.38358762860298157,-0.388248473405838,0.004660844802856445
-0.32264530658721924,-1.2316633462905884,-0.3948196768760681,-0.4002767503261566,0.005457073450088501
-0.3170340955257416,-1.2316633462905884,-0.40592896938323975,-0.41215747594833374,0.006228506565093994
-0.31142285466194153,-1.2316633462905884,-0.4169122278690338,-0.42388755083084106,0.006975322961807251
-0.30581164360046387,-1.2316633462905884,-0.4277658760547638,-0.4354613423347473,0.0076954662799835205
-0.3002004027366638,-1.2316633462905884,-0.43848657608032227,-0.4468751549720764,0.00838857889175415
-0.29458919167518616,-1.2316633462905884,-0.4490710496902466,-0.4581247568130493,0.009053707122802734
-0.2889779806137085,-1.2316633462905884,-0.4595159590244293,-0.4692065119743347,0.009690552949905396
-0.28336673974990845,-1.2316633462905884,-0.4698180854320526,-0.4801151156425476,0.010297030210494995
-0.2777555286884308,-1.2316633462905884,-0.4799741804599762,-0.49084803462028503,0.010873854160308838
-0.2721443176269531,-1.2316633462905884,-0.48998117446899414,-0.5014000535011292,0.01141887903213501
-0.2665330767631531,-1.2316633462905884,-0.49983593821525574,-0.5117676258087158,0.011931687593460083
-0.2609218657016754,-1.2316633462905884,-0.5095353126525879,-0.5219475030899048,0.012412190437316895
-0.25531065464019775,-1.2316633462905884,-0.5190763473510742,-0.5319352149963379,0.012858867645263672
-0.2496994137763977,-1.2316633462905884,-0.5284561514854431,-0.5417279005050659,0.013271749019622803
-0.24408820271492004,-1.2316633462905884,-0.537671685218811,-0.5513213276863098,0.01364964246749878
-0.2384769767522812,-1.2316633462905884,-0.5467202067375183,-0.5607121586799622,0.013991951942443848
-0.23286575078964233,-1.2316633462905884,-0.5555987358093262,-0.5698977112770081,0.014298975467681885
-0.22725452482700348,-1.2316633462905884,-0.5643047094345093,-0.578873872756958,0.01456916332244873
-0.22164329886436462,-1.2316633462905884,-0.5728353261947632,-0.5876379013061523,0.01480257511138916
-0.21603208780288696,-1.2316633462905884,-0.581187903881073,-0.5961860418319702,0.014998137950897217
-0.2104208618402481,-1.2316633462905884,-0.5893598198890686,-0.6045154333114624,0.015155613422393799
-0.20480963587760925,-1.2316633462905884,-0.597348690032959,-0.6126236319541931,0.01527494192123413
-0.3899799585342407,-1.2260520458221436,-0.2568947374820709,-0.25139522552490234,0.005499511957168579
-0.38436874747276306,-1.2260520458221436,-0.26943033933639526,-0.26489201188087463,0.00453832745552063
-0.3787575364112854,-1.2260520458221436,-0.2818821370601654,-0.27829253673553467,0.0035896003246307373
-0.37314629554748535,-1.2260520458221436,-0.29424646496772766,-0.29159125685691833,0.002655208110809326
-0.3675350844860077,-1.2260520458221436,-0.3065192401409149,-0.3047836720943451,0.0017355680465698242
-0.36192387342453003,-1.2260520458221436,-0.3186968266963959,-0.317865252494812,0.0008315742015838623
-0.35631263256073,-1.2260520458221436,-0.3307753801345825,-0.3308316767215729,5.6296586990356445e-05
-0.3507014214992523,-1.2260520458221436,-0.3427511751651764,-0.343676894903183,0.0009257197380065918
-0.34509021043777466,-1.2260520458221436,-0.3546203672885895,-0.35639697313308716,0.0017766058444976807
-0.3394789695739746,-1.2260520458221436,-0.36637941002845764,-0.3689873516559601,0.0026079416275024414
-0.33386775851249695,-1.2260520458221436,-0.3780246078968048,-0.3814425766468048,0.00341796875
-0.3282565176486969,-1.2260520458221436,-0.38955235481262207,-0.39375975728034973,0.004207402467727661
-0.32264530658721924,-1.2260520458221436,-0.4009590744972229,-0.40593209862709045,0.004973024129867554
-0.3170340955257416,-1.2260520458221436,-0.4122411012649536,-0.41795745491981506,0.00571635365486145
-0.31142285466194153,-1.2260520458221436,-0.4233951270580292,-0.42982977628707886,0.006434649229049683
-0.30581164360046387,-1.2260520458221436,-0.4344175457954407,-0.44154447317123413,0.007126927375793457
-0.3002004027366638,-1.2260520458221436,-0.4453049898147583,-0.45309942960739136,0.007794439792633057
-0.29458919167518616,-1.2260520458221436,-0.45605403184890747,-0.46448758244514465,0.008433550596237183
-0.2889779806137085,-1.2260520458221436,-0.46666136384010315,-0.4757072925567627,0.009045928716659546
-0.28336673974990845,-1.2260520458221436,-0.4771236777305603,-0.486752450466156,0.009628772735595703
-0.2777555286884308,-1.2260520458221436,-0.48743772506713867,-0.49762001633644104,0.010182291269302368
-0.2721443176269531,-1.2260520458221436,-0.4976002871990204,-0.5083059072494507,0.010705620050430298
-0.2665330767631531,-1.2260520458221436,-0.5076082944869995,-0.518805742263794,0.011197447776794434
-0.2609218657016754,-1.2260520458221436,-0.5174584984779358,-0.5291165113449097,0.011658012866973877
-0.25531065464019775,-1.2260520458221436,-0.5271478891372681,-0.5392339825630188,0.012086093425750732
-0.2496994137763977,-1.2260520458221436,-0.5366735458374023,-0.549153745174408,0.012480199337005615
-0.24408820271492004,-1.2260520458221436,-0.5460324287414551,-0.558874249458313,0.01284182071685791
-0.2384769767522812,-1.2260520458221436,-0.5552216172218323,-0.5683903694152832,0.013168752193450928
-0.23286575078964233,-1.2260520458221436,-0.5642382502555847,-0.5776994228363037,0.013461172580718994
-0.22725452482700348,-1.2260520458221436,-0.5730795860290527,-0.5867972373962402,0.0137176513671875
-0.22164329886436462,-1.2260520458221436,-0.5817428231239319,-0.5956812500953674,0.013938426971435547
-0.21603208780288696,-1.2260520458221436,-0.5902252793312073,-0.6043476462364197,0.014122366905212402
-0.2104208618402481,-1.2260520458221436,-0.598524272441864,-0.6127952337265015,0.014270961284637451
-0.20480963587760925,-1.2260520458221436,-0.6066373586654663,-0.6210178136825562,0.014380455017089844
-0.1991984248161316,-1.2260520458221436,-0.6145618557929993,-0.6290162205696106,0.014454364776611328
-0.19358719885349274,-1.2260520458221436,-0.6222954392433167,-0.6367849111557007,0.014489471912384033
-0.39559119939804077,-1.2204408645629883,-0.2479436695575714,-0.24143347144126892,0.00651019811630249
-0.3899799585342407,-1.2204408645629883,-0.26074832677841187,-0.25517550110816956,0.00557282567024231
-0.38436874747276306,-1.2204408645629883,-0.2734719514846802,-0.2688254117965698,0.0046465396881103516
-0.3787575364112854,-1.2204408645629883,-0.286110520362854,-0.2823772430419922,0.0037332773208618164
-0.37314629554748535,-1.2204408645629883,-0.29866036772727966,-0.29582715034484863,0.0028332173824310303
-0.3675350844860077,-1.2204408645629883,-0.3111172020435333,-0.30917006731033325,0.0019471347332000732
-0.36192387342453003,-1.2204408645629883,-0.32347747683525085,-0.3224010765552521,0.0010764002799987793
-0.35631263256073,-1.2204408645629883,-0.3357372283935547,-0.33551570773124695,0.00022152066230773926
-0.3507014214992523,-1.2204408645629883,-0.3478926420211792,-0.34850871562957764,0.0006160736083984375
-0.34509021043777466,-1.2204408645629883,-0.3599398732185364,-0.3613751232624054,0.0014352500438690186
-0.3394789695739746,-1.2204408645629883,-0.3718753159046173,-0.3741113543510437,0.0022360384464263916
-0.33386775851249695,-1.2204408645629883,-0.38369521498680115,-0.3867112994194031,0.0030160844326019287
-0.3282565176486969,-1.2204408645629883,-0.3953958749771118,-0.3991715908050537,0.0037757158279418945
-0.32264530658721924,-1.2204408645629883,-0.4069736897945404,-0.411487340927124,0.004513651132583618
-0.3170340955257416,-1.2204408645629883,-0.41842496395111084,-0.42365309596061707,0.005228132009506226
-0.31142285466194153,-1.2204408645629883,-0.4297463297843933,-0.4356650710105896,0.005918741226196289
-0.30581164360046387,-1.2204408645629883,-0.44093409180641174,-0.4475197196006775,0.006585627794265747
-0.3002004027366638,-1.2204408645629883,-0.45198482275009155,-0.459211528301239,0.007226705551147461
-0.29458919167518616,-1.2204408645629883,-0.46289509534835815,-0.47073689103126526,0.007841795682907104
-0.2889779806137085,-1.2204408645629883,-0.4736615717411041,-0.48209142684936523,0.008429855108261108
-0.28336673974990845,-1.2204408645629883,-0.4842808246612549,-0.49327003955841064,0.008989214897155762
-0.2777555286884308,-1.2204408645629883,-0.4947495758533478,-0.5042701959609985,0.009520620107650757
-0.2721443176269531,-1.2204408645629883,-0.5050646066665649,-0.5150876641273499,0.010023057460784912
-0.2665330767631531,-1.2204408645629883,-0.5152227282524109,-0.5257170796394348,0.010494351387023926
-0.2609218657016754,-1.2204408645629883,-0.5252206921577454,-0.5361568331718445,0.010936141014099121
-0.25531065464019775,-1.2204408645629883,-0.5350554585456848,-0.5464006066322327,0.011345148086547852
-0.2496994137763977,-1.2204408645629883,-0.5447239875793457,-0.5564476847648621,0.011723697185516357
-0.24408820271492004,-1.2204408645629883,-0.5542232394218445,-0.5662915706634521,0.012068331241607666
-0.2384769767522812,-1.2204408645629883,-0.5635502934455872,-0.5759309530258179,0.012380659580230713
-0.23286575078964233,-1.2204408645629883,-0.572702169418335,-0.5853608250617981,0.012658655643463135
-0.22725452482700348,-1.2204408645629883,-0.5816761255264282,-0.5945777893066406,0.012901663780212402
-0.22164329886436462,-1.2204408645629883,-0.5904693007469177,-0.6035802960395813,0.013110995292663574
-0.21603208780288696,-1.2204408645629883,-0.5990790128707886,-0.6123636364936829,0.013284623622894287
-0.2104208618402481,-1.2204408645629883,-0.6075025200843811,-0.6209256649017334,0.013423144817352295
-0.20480963587760925,-1.2204408645629883,-0.6157373189926147,-0.6292631030082703,0.013525784015655518
-0.1991984248161316,-1.2204408645629883,-0.6237806677818298,-0.6373730897903442,0.013592422008514404
-0.19358719885349274,-1.2204408645629883,-0.6316303014755249,-0.6452513933181763,0.013621091842651367
-0.18797597289085388,-1.2204408645629883,-0.6392835974693298,-0.6528961062431335,0.013612508773803711
-0.40120241045951843,-1.214829683303833,-0.23846285045146942,-0.23101326823234558,0.00744958221912384
-0.39559119939804077,-1.214829683303833,-0.2515309453010559,-0.24499371647834778,0.00653722882270813
-0.3899799585342407,-1.214829683303833,-0.2645208537578583,-0.2588861584663391,0.005634695291519165
-0.38436874747276306,-1.214829683303833,-0.2774285674095154,-0.2726849913597107,0.0047435760498046875
