stage,nu,seed,rel_l2,run_time_seconds
adam,0.040000,43,1.97393019e-03,142.206517
lbfgs,0.040000,43,2.90461550e-04,176.719271
pso,0.040000,43,3.68974413e-01,148.880192
best:lbfgs,0.040000,43,2.90461550e-04,176.719271
