stage,beta,seed,rel_l2,run_time_seconds
adam,0.500000,43,1.22467195e-02,649.332449
lbfgs,0.500000,43,2.33059908e-03,667.752987
best:lbfgs,0.500000,43,2.33059908e-03,667.752987
