epoch,total,physics,heat,visc,ic,bc,bc_disp,bc_flux,data,data_temp,data_disp
0,2.073086171832081e+22,0.7636869549751282,0.7120748162269592,0.05161213502287865,292268.6875,8.292344293263357e+20,8.292344293263357e+20,0.0014288738602772355,106328272.0,0.7332228422164917,106328272.0
1,2.062196918293062e+22,0.8102946877479553,0.7555326819419861,0.05476190894842148,292115.59375,8.248787447992266e+20,8.248787447992266e+20,0.0014193170936778188,106291592.0,0.7318938970565796,106291592.0
2,2.054098320263143e+22,0.8539038300514221,0.7961947917938232,0.057709094136953354,291964.375,8.216393196610079e+20,8.216393196610079e+20,0.0014108289033174515,106298688.0,0.7307761311531067,106298688.0
3,2.047185069655148e+22,0.889102578163147,0.8290146589279175,0.060087889432907104,291812.3125,8.188740391210582e+20,8.188740391210582e+20,0.0014022414106875658,106344728.0,0.7296425104141235,106344728.0
4,2.040592024980659e+22,0.9125165939331055,0.8508464097976685,0.061670269817113876,291659.21875,8.162368296955119e+20,8.162368296955119e+20,0.0013933416921645403,106381736.0,0.7284820675849915,106381736.0
5,2.034366924395726e+22,0.9290341138839722,0.8662475943565369,0.0627865418791771,291507.9375,8.137467613140411e+20,8.137467613140411e+20,0.0013843091437593102,106397200.0,0.7273543477058411,106397200.0
6,2.0283692555919753e+22,0.9438320398330688,0.8800453543663025,0.06378660351037979,291358.65625,8.11347679718792e+20,8.11347679718792e+20,0.001375301624648273,106380496.0,0.7263039350509644,106380496.0
7,2.0225895610101893e+22,0.960763692855835,0.8958328366279602,0.06493087112903595,291210.1875,8.090358553663232e+20,8.090358553663232e+20,0.0013659544056281447,106315240.0,0.725269079208374,106315240.0
8,2.0167578498527073e+22,0.965499222278595,0.9002483487129211,0.06525088846683502,291061.9375,8.067031314968336e+20,8.067031314968336e+20,0.0013562605017796159,106202648.0,0.7242395281791687,106202648.0
9,2.011312097183291e+22,0.9602904319763184,0.895391583442688,0.06489885598421097,290914.125,8.045247966520698e+20,8.045247966520698e+20,0.0013457050081342459,106069456.0,0.7231066226959229,106069456.0
10,2.0064304203672026e+22,0.9508686661720276,0.8866065144538879,0.06426216661930084,290767.8125,8.02572204738628e+20,8.02572204738628e+20,0.001334836590103805,105929016.0,0.7220044732093811,105929016.0
11,2.001777076052222e+22,0.937811017036438,0.8744312524795532,0.06337977200746536,290624.28125,8.007108107176405e+20,8.007108107176405e+20,0.001324017415754497,105749584.0,0.7208539843559265,105749584.0
12,1.9972158303496212e+22,0.9189243316650391,0.8568209409713745,0.062103454023599625,290483.1875,7.98886289918602e+20,7.98886289918602e+20,0.0013131099985912442,105589432.0,0.7196927666664124,105589432.0
13,1.9926541342870577e+22,0.8947130441665649,0.8342458009719849,0.060467302799224854,290344.71875,7.970616987508193e+20,7.970616987508193e+20,0.0013021036284044385,105469816.0,0.7185279726982117,105469816.0
