stage,beta,seed,rel_l2,run_time_seconds
adam,0.100000,43,1.98709681e-02,518.589373
lbfgs,0.100000,43,1.22718383e-02,525.380357
best:lbfgs,0.100000,43,1.22718383e-02,525.380357
