stage,domain,seed,rel_l2,run_time_seconds
adam,rectangular,42,2.25880651e-02,190.074802
lbfgs,rectangular,42,1.37910922e-03,229.913212
pso,rectangular,42,7.24067402e-01,199.278892
best:lbfgs,rectangular,42,1.37910922e-03,229.913212
