epoch,total,physics,heat,visc,ic,bc,bc_disp,bc_flux,data,data_temp,data_disp
0,2716618.25,0.7636869549751282,0.7120748162269592,0.05161213502287865,292268.6875,8.292344293263357e+20,8.292344293263357e+20,0.0014288738602772355,54315704.0,57.493473052978516,54315648.0
1,994817.0,0.6472631692886353,0.6035196781158447,0.04374346509575844,292237.125,3.795076093650246e+20,3.795076093650246e+20,0.001492991461418569,19888678.0,57.83847427368164,19888620.0
2,108775.796875,0.5287377834320068,0.49300453066825867,0.03573321923613548,292224.5,1.8070427862814845e+20,1.8070427862814845e+20,0.0014918381348252296,2171832.75,57.902008056640625,2171774.75
3,20778.60546875,0.4364411234855652,0.4069451093673706,0.029496027156710625,292215.34375,9.827153454085177e+19,9.827153454085177e+19,0.0014812989393249154,413539.5,57.92094421386719,413481.59375
4,36194.8984375,0.3782866597175598,0.35272055864334106,0.02556612156331539,292203.28125,6.784230395154635e+19,6.784230395154635e+19,0.001471458119340241,722475.0625,57.958351135253906,722417.125
5,55021.02734375,0.31458795070648193,0.2933264970779419,0.021261436864733696,292186.625,5.371014466029958e+19,5.371014466029958e+19,0.0014595388201996684,1099281.625,58.05791473388672,1099223.625
6,2693.108154296875,0.2729623019695282,0.2545139193534851,0.018448375165462494,292163.09375,4.164431076527178e+19,4.164431076527178e+19,0.0014432112220674753,52965.38671875,58.12846374511719,52907.2578125
7,11080.3359375,0.2428620606660843,0.22644807398319244,0.0164139773696661,292132.9375,3.4728496975770026e+19,3.4728496975770026e+19,0.001423507696017623,220848.859375,58.072410583496094,220790.78125
8,19706.767578125,0.19930364191532135,0.1858338713645935,0.013469805009663105,292098.4375,2.9042278034726453e+19,2.9042278034726453e+19,0.001417604391463101,393492.09375,58.11759948730469,393433.96875
9,12876.5517578125,0.17904366552829742,0.16694344580173492,0.012100232765078545,292055.25,2.476260274644556e+19,2.476260274644556e+19,0.001408452051691711,256973.78125,58.0828971862793,256915.703125
10,5073.638671875,0.17237098515033722,0.16072194278240204,0.011649036779999733,292006.09375,2.2409977716493255e+19,2.2409977716493255e+19,0.0013970768777653575,100962.7265625,57.987640380859375,100904.7421875
11,5544.94921875,0.16906726360321045,0.1576416790485382,0.011425578035414219,291955.34375,2.047746068635137e+19,2.047746068635137e+19,0.0013860060134902596,110427.6640625,57.893836975097656,110369.7734375
12,1183.4896240234375,0.16809017956256866,0.1567307710647583,0.0113594438880682,291903.25,1.8657454482056544e+19,1.8657454482056544e+19,0.0013746315380558372,23234.900390625,57.78681564331055,23177.11328125
13,1036.5330810546875,0.16542033851146698,0.15424133837223053,0.01117898803204298,291848.6875,1.811730620077205e+19,1.811730620077205e+19,0.0013606844004243612,20306.63671875,57.621341705322266,20249.015625
14,4193.02587890625,0.162346750497818,0.151375412940979,0.010971331037580967,291791.65625,1.8571336333322617e+19,1.8571336333322617e+19,0.0013451356207951903,83427.4921875,57.428871154785156,83370.0625
15,22799.5390625,0.17072626948356628,0.15918852388858795,0.011537745594978333,291730.4375,1.8792850542924136e+19,1.8792850542924136e+19,0.0013287914916872978,455553.15625,57.23522186279297,455495.90625
16,16185.2666015625,0.17683696746826172,0.16488617658615112,0.011950820684432983,291664.875,1.8543542878395695e+19,1.8543542878395695e+19,0.001311344327405095,323272.59375,57.04652404785156,323215.5625
17,1142.5401611328125,0.17133383452892303,0.15975484251976013,0.011578995734453201,291595.6875,1.8161562643301663e+19,1.8161562643301663e+19,0.001293590641580522,22425.82421875,56.86949920654297,22368.955078125
18,1978.5587158203125,0.159445121884346,0.14866949617862701,0.010775639675557613,291524.1875,1.7792801836508381e+19,1.7792801836508381e+19,0.0012760416138917208,39153.82421875,56.71733856201172,39097.10546875
19,4866.11376953125,0.14100034534931183,0.1314711570739746,0.009529192000627518,291453.0,1.848664095263503e+19,1.848664095263503e+19,0.0012578809401020408,96891.4375,56.56877517700195,96834.8671875
20,2921.219970703125,0.1254233717918396,0.11694681644439697,0.008476536720991135,291382.09375,1.967338783295878e+19,1.967338783295878e+19,0.00124007323756814,57970.14453125,56.44761657714844,57913.6953125
21,213.95452880859375,0.11749549955129623,0.10955468565225601,0.007940815761685371,291310.8125,2.0980759934942577e+19,2.0980759934942577e+19,0.0012222230434417725,3798.86328125,56.34306716918945,3742.520263671875
22,1527.89794921875,0.1173214241862297,0.10939233750104904,0.007929099723696709,291240.5625,2.2213811647958483e+19,2.2213811647958483e+19,0.0012042475864291191,30053.087890625,56.23938751220703,29996.84765625
23,4894.49267578125,0.12131679058074951,0.11311763525009155,0.008199164643883705,291173.34375,2.3337290430196744e+19,2.3337290430196744e+19,0.0011852976167574525,97362.453125,56.10847473144531,97306.34375
24,4616.8828125,0.1250477284193039,0.11659639328718185,0.00845134537667036,291107.84375,2.414605160117017e+19,2.414605160117017e+19,0.0011656989809125662,91794.015625,55.95757293701172,91738.0546875
