stage,objective,score,temp_mae,disp_mae,temp_norm,disp_norm,checkpoint,selected
adam,21.331974029541016,21.628922785097473,10.0877685546875,0.0011415714398026466,0.26717290250750414,0.9206221197183238,baseline_model_adam.pth,0
lbfgs,21.008846282958984,21.114096953035997,9.770025253295898,0.00020118399697821587,0.25875752306804783,0.16224515724001431,baseline_model_lbfgs.pth,1
pso,674.7429809570312,690.4132923064657,21.590625762939453,0.07701568305492401,0.5718241968742833,62.109421200863466,baseline_model_pso.pth,0
