stage,beta,seed,rel_l2,run_time_seconds
adam,1.000000,44,1.18467499e-02,602.397398
lbfgs,1.000000,44,2.65576337e-03,627.411424
pso,1.000000,44,1.05488157e+00,636.284545
best:lbfgs,1.000000,44,2.65576337e-03,627.411424
