stage,nu,seed,rel_l2,run_time_seconds
adam,0.040000,43,3.01863112e-03,123.055023
lbfgs,0.040000,43,3.15840631e-04,158.801937
pso,0.040000,43,4.01650262e-01,127.557314
best:lbfgs,0.040000,43,3.15840631e-04,158.801937
