stage,nu,seed,rel_l2,run_time_seconds
adam,0.010000,42,1.43314105e-02,138.055009
lbfgs,0.010000,42,2.30636786e-03,203.353452
pso,0.010000,42,8.24206641e-01,150.555053
best:lbfgs,0.010000,42,2.30636786e-03,203.353452
