stage,nu,seed,rel_l2,run_time_seconds
adam,0.070000,44,1.24272859e-03,154.508850
lbfgs,0.070000,44,1.65799763e-04,170.898688
pso,0.070000,44,4.67352262e-01,166.533966
best:lbfgs,0.070000,44,1.65799763e-04,170.898688
