stage,beta,seed,rel_l2,run_time_seconds
adam,0.100000,45,4.17309905e-02,505.495963
lbfgs,0.100000,45,5.67694475e-03,530.692099
best:lbfgs,0.100000,45,5.67694475e-03,530.692099
